user_id,competency_code,status,total_time_spent,avg_time_spent,count,average_score,total_score,total_num_attempts
0bf1ec25-e377-4f80-8e33-fd286aa44e28,K12.MA-A1-A-CED.A.01,completed,3178000,1059333.33333333,3,96.6666666667,290,11
172404fa-d36f-4166-a582-887b5b99c68e,K12.MA-A1-A-CED.A.02,completed,1981000,990500,2,100,200,2
1b924887-ec9f-48f1-b44e-0aa9d2ea6566,K12.MA-A1-A-CED.A.01,completed,1600000,1600000,1,100,100,1
22b49bd4-be5c-4b69-831a-d14cfe7631be,K12.MA-A1-A-CED.A.01,completed,1985000,992500,2,80,160,11
2397de01-803c-45a0-b2a3-48815563ef3b,K12.MA-A1-A-CED.A.01,completed,1553000,1553000,1,100,100,1
28814965-a067-42b1-871a-8590142fc5d2,K12.MA-A1-A-CED.A.01,completed,5286000,2643000,2,90,180,8
3383b022-7867-42fd-8250-b17af2541678,K12.MA-A1-A-CED.A.01,completed,7366000,7366000,1,90.91,90.91,1
3759498b-0b50-4339-ac12-1c07558ee810,K12.MA-A1-A-CED.A.01,completed,6866000,6866000,1,90.91,90.91,1
3cce276a-a558-4a93-b2b0-d02c641e7268,K12.MA-A1-A-CED.A.01,completed,233000,77666.6666666667,3,86.6666666667,260,3
3e3ea2c9-ee02-4270-9b2b-6827e6ccd61e,K12.MA-A1-A-CED.A.02,completed,213000,213000,1,100,100,1
40e34a05-2e14-4338-89fc-30df7e4cf18e,K12.MA-A1-A-CED.A.02,completed,2246000,2246000,1,80,80,1
40e34a05-2e14-4338-89fc-30df7e4cf18e,K12.MA-A1-A-CED.A.01,completed,2246000,2246000,1,80,80,1
49a0c076-1d1d-4cda-acb8-f7d9eba79a7f,K12.MA-A1-A-CED.A.01,completed,1523000,507666.666666667,3,83.3333333333,250,5
4ae67cbc-e863-4804-b3a3-f8d0ce5d4de7,K12.MA-A1-A-CED.A.01,completed,2680000,2680000,1,100,100,1
4c672fae-e6a3-483d-bfcf-d194cd217e46,K12.MA-A1-A-CED.A.01,completed,1842000,1842000,1,90.91,90.91,1
4f9135df-5e1b-4d56-ab15-10485858fe9e,K12.MA-A1-A-CED.A.01,completed,249000,83000,3,93.3333333333,280,3
52089263-d6ea-4ad3-995d-9f0dc7c50040,K12.MA-A1-A-CED.A.02,completed,38000,38000,1,100,100,1
53a3636e-6763-4092-bae7-fc4678697877,K12.MA-A1-A-CED.A.02,completed,1677000,1677000,1,100,100,1
5bc04bc3-acf6-41fd-9550-193211e3bf80,K12.MA-A1-A-CED.A.01,completed,551000,183666.666666667,3,86.6666666667,260,7
60c2b4a8-9cff-4a1a-9ec3-02929bdbe0f5,K12.MA-A1-A-CED.A.01,completed,4522000,1130500,4,92.5,370,13
60c2b4a8-9cff-4a1a-9ec3-02929bdbe0f5,K12.MA-A1-A-CED.A.02,completed,858000,858000,1,100,100,1
642fbbd2-7d42-48f0-8d89-8b04bf06547d,K12.MA-A1-A-CED.A.01,completed,13948000,3487000,4,90,360,4
642fbbd2-7d42-48f0-8d89-8b04bf06547d,K12.MA-A1-A-CED.A.02,completed,12288000,4096000,3,93.3333333333,280,3
651fdcdc-c515-4221-b23a-cb1ee665c24a,K12.MA-A1-A-CED.A.01,completed,5221000,5221000,1,90.91,90.91,1
67e0159c-5950-4f68-b38e-35e7ecacc343,K12.MA-A1-A-CED.A.01,completed,2982000,745500,4,100,400,9
67e0159c-5950-4f68-b38e-35e7ecacc343,K12.MA-A1-A-CED.A.02,completed,20322000,5080500,4,95,380,4
6a271178-1972-4890-b711-efd02a00192a,K12.MA-A1-A-CED.A.02,completed,830000,276666.666666667,3,100,300,3
6ccb6aea-8e8f-4f17-8a5d-09676658af41,K12.MA-A1-A-CED.A.01,completed,53000,53000,1,100,100,1
6d68daac-7508-4e55-bce1-1b9a85a81e5a,K12.MA-A1-A-CED.A.01,completed,2295000,2295000,1,100,100,1
6e9a3e07-17ff-49aa-8392-59e83e7995bf,K12.MA-A1-A-CED.A.01,completed,2762000,920666.666666667,3,100,300,17
6e9a3e07-17ff-49aa-8392-59e83e7995bf,K12.MA-A1-A-CED.A.02,completed,333000,333000,1,100,100,1
6f222f56-8d78-4560-bbfb-e59df52b0101,K12.MA-A1-A-CED.A.01,completed,2792000,1396000,2,85,170,2
6f222f56-8d78-4560-bbfb-e59df52b0101,K12.MA-A1-A-CED.A.02,completed,1641000,1641000,1,80,80,1
74266fcf-cb83-4dbf-a207-56e1804ec8c1,K12.MA-A1-A-CED.A.02,completed,13251000,2208500,6,97.2216666667,583.33,10
74266fcf-cb83-4dbf-a207-56e1804ec8c1,K12.MA-A1-A-CED.A.01,completed,9195000,3065000,3,93.3333333333,280,9
758993b5-37b4-4b3e-b6dd-77cf73e411a8,K12.MA-A1-A-CED.A.01,completed,5224000,1741333.33333333,3,93.3333333333,280,5
758993b5-37b4-4b3e-b6dd-77cf73e411a8,K12.MA-A1-A-CED.A.02,completed,1270000,1270000,1,100,100,1
7d248245-5e01-496a-a3e7-33c0ad870144,K12.MA-A1-A-CED.A.01,completed,4859000,4859000,1,90.91,90.91,1
86a0d033-942d-4029-889a-caedfe75aa23,K12.MA-A1-A-CED.A.01,completed,8159000,2719666.66666667,3,93.3333333333,280,12
86b7b596-b733-47dc-b84b-b759436e1af4,K12.MA-A1-A-CED.A.01,completed,377000,125666.666666667,3,93.3333333333,280,4
91f7244e-4026-4f76-93e1-f386c68a8e41,K12.MA-A1-A-CED.A.01,completed,6952000,2317333.33333333,3,86.6666666667,260,10
91f7244e-4026-4f76-93e1-f386c68a8e41,K12.MA-A1-A-CED.A.02,completed,5402000,2701000,2,90,180,2
95f2ed8f-1de4-49e3-8885-565c3e4bccde,K12.MA-A1-A-CED.A.01,completed,951000,475500,2,90,180,3
95f2ed8f-1de4-49e3-8885-565c3e4bccde,K12.MA-A1-A-CED.A.02,completed,612000,612000,1,100,100,1
9bba08ba-d148-485f-a8b2-9d6e17e06c8b,K12.MA-A1-A-CED.A.01,completed,794000,264666.666666667,3,100,300,4
9df702ea-ccda-4293-93b1-b2d11a04d7fc,K12.MA-A1-A-CED.A.01,completed,117000,58500,2,90,180,3
a42eb073-c00b-4613-ba8a-91149dadd161,K12.MA-A1-A-CED.A.01,completed,2271000,2271000,1,100,100,1
ab361d7f-97a1-48a0-88b7-8d8e9836a4ba,K12.MA-A1-A-CED.A.01,completed,4866000,4866000,1,90.91,90.91,1
aeda2575-0b3e-4a65-9e3a-4dbf61842334,K12.MA-A1-A-CED.A.01,completed,7200000,2400000,3,90,270,10
b0340142-da0d-4bf6-a6b4-4966eaad2619,K12.MA-A1-A-CED.A.01,completed,5105000,5105000,1,90.91,90.91,1
b09167ee-629c-4a31-88ce-5a628cfcb63b,K12.MA-A1-A-CED.A.01,completed,25587000,4264500,6,95,570,6
b09167ee-629c-4a31-88ce-5a628cfcb63b,K12.MA-A1-A-CED.A.02,completed,9535000,4767500,2,100,200,2
b3be0cd6-b820-404a-b22f-60478ec50dce,K12.MA-A1-A-CED.A.01,completed,1659000,1659000,1,100,100,1
bd694c13-06dc-45e3-b213-b09061f6bd8b,K12.MA-A1-A-CED.A.01,completed,228000,114000,2,90,180,3
c0db9cec-f028-48ae-94c4-223ddc7cd0a1,K12.MA-A1-A-CED.A.02,completed,103000,103000,1,100,100,1
c18ab99e-9686-4c42-b347-ee8548cab7cb,K12.MA-A1-A-CED.A.01,completed,1312000,437333.333333333,3,96.6666666667,290,3
c18ab99e-9686-4c42-b347-ee8548cab7cb,K12.MA-A1-A-CED.A.02,completed,844000,844000,1,100,100,1
c569737e-3187-4cda-ad19-e5da68005c48,K12.MA-A1-A-CED.A.01,completed,7837000,7837000,1,100,100,1
dd913ede-993e-4aeb-b33f-8bfd28f81de3,K12.MA-A1-A-CED.A.01,completed,4296000,4296000,1,81.82,81.82,1
dd984926-4f46-49f1-9bb6-c13739ed6fa4,K12.MA-A1-A-CED.A.01,completed,5098000,2549000,2,90,180,2
dd984926-4f46-49f1-9bb6-c13739ed6fa4,K12.MA-A1-A-CED.A.02,completed,2849000,949666.666666667,3,86.6666666667,260,3
e2c76b32-5b9a-4bfc-bc47-089186b57091,K12.MA-A1-A-CED.A.02,completed,114000,114000,1,100,100,1
ed54eff9-f1aa-44aa-81ab-5a8abaf8247e,K12.MA-A1-A-CED.A.01,completed,230000,115000,2,95,190,2
ef719e68-3537-4831-8f6e-322ab1a7f719,K12.MA-A1-A-CED.A.01,completed,4277000,4277000,1,90.91,90.91,1
f0bccc0e-7f91-4853-a23c-74d529eba7f3,K12.MA-A1-A-CED.A.02,completed,3053000,3053000,1,100,100,1
f9cc2e21-d01d-483c-b154-075eff6c0f0b,K12.MA-A1-A-CED.A.02,completed,2493000,2493000,1,100,100,1
fc35805a-062b-4b4f-931f-442d0255c17c,K12.MA-A1-A-CED.A.01,completed,2938000,979333.333333333,3,93.3333333333,280,15
