user_id,competency_code,status,total_time_spent,avg_time_spent,count,average_score,total_score,total_num_attempts
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,K12.MA-MA8-EE-C.01,completed,1156000,231200,5,84,420,5
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,K12.MA-MA8-EE-C.01.02,completed,885000,221250,4,85,340,4
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,K12.MA-MA8-EE-C.01.01,completed,885000,221250,4,85,340,4
0381753c-6ae0-451d-9c62-3d861a73a62b,K12.MA-MA8-EE-C.01,completed,598000,199333.333333333,3,93.3333333333,280,5
0381753c-6ae0-451d-9c62-3d861a73a62b,K12.MA-MA8-EE-C.01.01,completed,339000,169500,2,90,180,3
0381753c-6ae0-451d-9c62-3d861a73a62b,K12.MA-MA8-EE-C.01.02,completed,339000,169500,2,90,180,3
0635a8a8-43bd-4238-b578-2256fdb47e14,K12.MA-MA8-EE-C.01,completed,2762000,2762000,1,80,80,1
08ae7b2b-d3f8-4b2e-8003-cfa67881657d,K12.MA-MA8-EE-C.01,completed,789000,789000,1,80,80,1
08ae7b2b-d3f8-4b2e-8003-cfa67881657d,K12.MA-MA8-EE-C.01.02,completed,789000,789000,1,80,80,1
08ae7b2b-d3f8-4b2e-8003-cfa67881657d,K12.MA-MA8-EE-C.01.01,completed,789000,789000,1,80,80,1
09909a65-d79f-4b57-96fc-5c09570fe504,K12.MA-MA8-EE-C.01,completed,535000,133750,4,85,340,4
09909a65-d79f-4b57-96fc-5c09570fe504,K12.MA-MA8-EE-C.01.02,completed,353000,117666.666666667,3,86.6666666667,260,3
09909a65-d79f-4b57-96fc-5c09570fe504,K12.MA-MA8-EE-C.01.01,completed,353000,117666.666666667,3,86.6666666667,260,3
09be234f-26a3-4f96-af34-4ab2e0cb1d46,K12.MA-MA8-EE-C.01,completed,1329000,1329000,1,100,100,2
09be234f-26a3-4f96-af34-4ab2e0cb1d46,K12.MA-MA8-EE-C.02,completed,1329000,1329000,1,100,100,2
0aff6747-143f-40a6-9e3f-6a51ad0b1365,K12.MA-MA8-EE-C.01,completed,18149000,9074500,2,100,200,2
0bf1ec25-e377-4f80-8e33-fd286aa44e28,K12.MA-MA8-EE-C.01.02,completed,3456000,1152000,3,100,300,3
0bf1ec25-e377-4f80-8e33-fd286aa44e28,K12.MA-MA8-EE-C.01,completed,1896000,948000,2,90,180,2
0ce6d46b-bc5f-4c64-ac3b-572ab022cd95,K12.MA-MA8-EE-C.01,completed,916000,916000,1,100,100,2
0ce6d46b-bc5f-4c64-ac3b-572ab022cd95,K12.MA-MA8-EE-C.02,completed,916000,916000,1,100,100,2
0ee2c2ab-4375-4a9b-be5a-f739572b116d,K12.MA-MA8-EE-C.01,completed,9145000,3048333.33333333,3,93.3333333333,280,3
0ee2c2ab-4375-4a9b-be5a-f739572b116d,K12.MA-MA8-EE-C.01.02,completed,3632000,3632000,1,80,80,1
0f0ad446-8ca0-4b26-93a0-500c0884c68f,K12.MA-MA8-EE-C.01,completed,4260000,1065000,4,90,360,6
0f0ad446-8ca0-4b26-93a0-500c0884c68f,K12.MA-MA8-EE-C.01.02,completed,3931000,1310333.33333333,3,93.3333333333,280,5
0f0ad446-8ca0-4b26-93a0-500c0884c68f,K12.MA-MA8-EE-C.01.01,completed,3931000,1310333.33333333,3,93.3333333333,280,5
1374edc2-0dc1-4108-a268-58c8317b6236,K12.MA-MA8-EE-C.01,completed,1248000,249600,5,84,420,7
1374edc2-0dc1-4108-a268-58c8317b6236,K12.MA-MA8-EE-C.01.01,completed,901000,225250,4,85,340,6
1374edc2-0dc1-4108-a268-58c8317b6236,K12.MA-MA8-EE-C.01.02,completed,901000,225250,4,85,340,6
154d941c-ff42-4c4b-8412-3b9f4cc8898e,K12.MA-MA8-EE-C.01,completed,1439000,287800,5,88,440,8
154d941c-ff42-4c4b-8412-3b9f4cc8898e,K12.MA-MA8-EE-C.01.01,completed,940000,235000,4,90,360,6
154d941c-ff42-4c4b-8412-3b9f4cc8898e,K12.MA-MA8-EE-C.01.02,completed,940000,235000,4,90,360,6
16a254e1-d3f6-4b2b-9038-f61cd76a6754,K12.MA-MA8-EE-C.02,completed,665000,665000,1,83.33,83.33,1
16a254e1-d3f6-4b2b-9038-f61cd76a6754,K12.MA-MA8-EE-C.01,completed,665000,665000,1,83.33,83.33,1
1852e8da-488f-42dd-b700-cda9c22cedaf,K12.MA-MA8-EE-C.01,completed,1264000,316000,4,95,380,4
1852e8da-488f-42dd-b700-cda9c22cedaf,K12.MA-MA8-EE-C.01.02,completed,1036000,345333.333333333,3,100,300,3
1852e8da-488f-42dd-b700-cda9c22cedaf,K12.MA-MA8-EE-C.01.01,completed,1036000,345333.333333333,3,100,300,3
1aa03d67-9c84-4b77-a3ad-855e368ef89f,K12.MA-MA8-EE-C.01,completed,482000,160666.666666667,3,100,300,5
1aa03d67-9c84-4b77-a3ad-855e368ef89f,K12.MA-MA8-EE-C.01.02,completed,482000,160666.666666667,3,100,300,5
1aa03d67-9c84-4b77-a3ad-855e368ef89f,K12.MA-MA8-EE-C.01.01,completed,482000,160666.666666667,3,100,300,5
1c4152d2-cbab-4bc4-97f3-9a7a9216ef26,K12.MA-MA8-EE-C.01.01,completed,477000,159000,3,86.6666666667,260,3
1c4152d2-cbab-4bc4-97f3-9a7a9216ef26,K12.MA-MA8-EE-C.01,completed,477000,159000,3,86.6666666667,260,3
1c4152d2-cbab-4bc4-97f3-9a7a9216ef26,K12.MA-MA8-EE-C.01.02,completed,477000,159000,3,86.6666666667,260,3
1d36736b-a895-446f-8aac-477d747d6e0c,K12.MA-MA8-EE-C.01,completed,1743000,1743000,1,83.33,83.33,4
1d36736b-a895-446f-8aac-477d747d6e0c,K12.MA-MA8-EE-C.02,completed,12349000,6174500,2,91.665,183.33,4
1d36736b-a895-446f-8aac-477d747d6e0c,K12.MA-MA8-EE-C.02.01,completed,10606000,10606000,1,100,100,1
1d36736b-a895-446f-8aac-477d747d6e0c,K12.MA-MA8-EE-C.01.01,completed,10606000,10606000,1,100,100,1
1d36736b-a895-446f-8aac-477d747d6e0c,K12.MA-MA8-EE-C.02.03,completed,10606000,10606000,1,100,100,1
1ef06cb7-1e87-465a-b333-dc1b794734c0,K12.MA-MA8-EE-C.01,completed,3231000,646200,5,92,460,8
1ef06cb7-1e87-465a-b333-dc1b794734c0,K12.MA-MA8-EE-C.01.01,completed,2983000,745750,4,95,380,7
1ef06cb7-1e87-465a-b333-dc1b794734c0,K12.MA-MA8-EE-C.01.02,completed,2983000,745750,4,95,380,7
212b2434-97a5-4913-a22f-afc5e4b950f0,K12.MA-MA8-EE-C.01,completed,1494000,373500,4,85,340,4
212b2434-97a5-4913-a22f-afc5e4b950f0,K12.MA-MA8-EE-C.01.01,completed,1083000,361000,3,86.6666666667,260,3
212b2434-97a5-4913-a22f-afc5e4b950f0,K12.MA-MA8-EE-C.01.02,completed,1083000,361000,3,86.6666666667,260,3
236b3280-275b-4baf-b892-0fb95a776ceb,K12.MA-MA8-EE-C.01,completed,1349000,337250,4,95,380,6
236b3280-275b-4baf-b892-0fb95a776ceb,K12.MA-MA8-EE-C.01.01,completed,1066000,355333.333333333,3,93.3333333333,280,4
236b3280-275b-4baf-b892-0fb95a776ceb,K12.MA-MA8-EE-C.01.02,completed,1066000,355333.333333333,3,93.3333333333,280,4
2397de01-803c-45a0-b2a3-48815563ef3b,K12.MA-MA8-EE-C.01.02,completed,1553000,1553000,1,100,100,1
2397de01-803c-45a0-b2a3-48815563ef3b,K12.MA-MA8-EE-C.01,completed,1553000,1553000,1,100,100,1
244fe67a-6b08-4da3-9bb5-e1946e061b20,K12.MA-MA8-EE-C.02,completed,919000,919000,1,100,100,3
244fe67a-6b08-4da3-9bb5-e1946e061b20,K12.MA-MA8-EE-C.01,completed,919000,919000,1,100,100,3
284b3b46-4d74-4df9-992b-ca6668e7643b,K12.MA-MA8-EE-C.02,completed,1536000,1536000,1,100,100,2
284b3b46-4d74-4df9-992b-ca6668e7643b,K12.MA-MA8-EE-C.01,completed,1536000,1536000,1,100,100,2
28814965-a067-42b1-871a-8590142fc5d2,K12.MA-MA8-EE-C.01.02,completed,1813000,362600,5,95.5,477.5,5
28814965-a067-42b1-871a-8590142fc5d2,K12.MA-MA8-EE-C.01,completed,297000,297000,1,87.5,87.5,1
289eca43-4b0b-4a6c-b004-de5a3592e8be,K12.MA-MA8-EE-C.01,completed,1274000,424666.666666667,3,93.3333333333,280,3
289eca43-4b0b-4a6c-b004-de5a3592e8be,K12.MA-MA8-EE-C.01.01,completed,313000,156500,2,100,200,2
289eca43-4b0b-4a6c-b004-de5a3592e8be,K12.MA-MA8-EE-C.01.02,completed,313000,156500,2,100,200,2
