user_id,competency_code,status,total_time_spent,avg_time_spent,count,average_score,total_score,total_num_attempts
172404fa-d36f-4166-a582-887b5b99c68e,K12.MA-A1-F-LE.A.01,completed,2361000,1180500,2,91.665,183.33,4
172404fa-d36f-4166-a582-887b5b99c68e,K12.MA-A1-F-LE.A.03,completed,2361000,1180500,2,91.665,183.33,4
172404fa-d36f-4166-a582-887b5b99c68e,K12.MA-A1-F-LE.A.02,completed,792000,792000,1,100,100,1
1b924887-ec9f-48f1-b44e-0aa9d2ea6566,K12.MA-A1-F-LE.A.01,completed,1799000,1799000,1,100,100,1
1b924887-ec9f-48f1-b44e-0aa9d2ea6566,K12.MA-A1-F-LE.A.02,completed,4582000,2291000,2,100,200,2
1b924887-ec9f-48f1-b44e-0aa9d2ea6566,K12.MA-A1-F-LE.A.03,completed,1799000,1799000,1,100,100,1
2397de01-803c-45a0-b2a3-48815563ef3b,K12.MA-A1-F-LE.B.01,completed,1553000,1553000,1,100,100,1
3383b022-7867-42fd-8250-b17af2541678,K12.MA-A1-F-LE.B.01,completed,7366000,7366000,1,90.91,90.91,1
3759498b-0b50-4339-ac12-1c07558ee810,K12.MA-A1-F-LE.B.01,completed,6866000,6866000,1,90.91,90.91,1
4ae67cbc-e863-4804-b3a3-f8d0ce5d4de7,K12.MA-A1-F-LE.B.01,completed,2680000,2680000,1,100,100,1
4c672fae-e6a3-483d-bfcf-d194cd217e46,K12.MA-A1-F-LE.B.01,completed,1842000,1842000,1,90.91,90.91,1
632c2c4f-de77-4806-83a0-d7753c348275,K12.MA-A1-F-LE.A.01,completed,5083000,1270750,4,100,400,10
632c2c4f-de77-4806-83a0-d7753c348275,K12.MA-A1-F-LE.A.03,completed,5083000,1270750,4,100,400,10
632c2c4f-de77-4806-83a0-d7753c348275,K12.MA-A1-F-LE.A.02,completed,2755000,1377500,2,100,200,2
651fdcdc-c515-4221-b23a-cb1ee665c24a,K12.MA-A1-F-LE.B.01,completed,5221000,5221000,1,90.91,90.91,1
6d68daac-7508-4e55-bce1-1b9a85a81e5a,K12.MA-A1-F-LE.B.01,completed,2295000,2295000,1,100,100,1
7d248245-5e01-496a-a3e7-33c0ad870144,K12.MA-A1-F-LE.B.01,completed,4859000,4859000,1,90.91,90.91,1
91f7244e-4026-4f76-93e1-f386c68a8e41,K12.MA-A1-F-LE.A.03,completed,2451000,2451000,1,100,100,1
91f7244e-4026-4f76-93e1-f386c68a8e41,K12.MA-A1-F-LE.A.01,completed,2451000,2451000,1,100,100,1
91f7244e-4026-4f76-93e1-f386c68a8e41,K12.MA-A1-F-LE.A.02,completed,4244000,2122000,2,100,200,2
ab361d7f-97a1-48a0-88b7-8d8e9836a4ba,K12.MA-A1-F-LE.B.01,completed,4866000,4866000,1,90.91,90.91,1
ad70371d-f993-4df4-a3e1-41e1786567f4,K12.MA-A1-F-LE.A.01,completed,5607000,1121400,5,100,500,5
ad70371d-f993-4df4-a3e1-41e1786567f4,K12.MA-A1-F-LE.A.03,completed,3725000,931250,4,100,400,4
ad70371d-f993-4df4-a3e1-41e1786567f4,K12.MA-A1-F-LE.A.02,completed,2783000,1391500,2,100,200,2
b0340142-da0d-4bf6-a6b4-4966eaad2619,K12.MA-A1-F-LE.B.01,completed,5105000,5105000,1,90.91,90.91,1
b3be0cd6-b820-404a-b22f-60478ec50dce,K12.MA-A1-F-LE.B.01,completed,1659000,1659000,1,100,100,1
c569737e-3187-4cda-ad19-e5da68005c48,K12.MA-A1-F-LE.B.01,completed,7837000,7837000,1,100,100,1
dd913ede-993e-4aeb-b33f-8bfd28f81de3,K12.MA-A1-F-LE.B.01,completed,4296000,4296000,1,81.82,81.82,1
ef719e68-3537-4831-8f6e-322ab1a7f719,K12.MA-A1-F-LE.B.01,completed,4277000,4277000,1,90.91,90.91,1
f0bccc0e-7f91-4853-a23c-74d529eba7f3,K12.MA-A1-F-LE.A.03,completed,3736000,934000,4,100,400,4
f0bccc0e-7f91-4853-a23c-74d529eba7f3,K12.MA-A1-F-LE.A.01,completed,3736000,934000,4,100,400,4
f0bccc0e-7f91-4853-a23c-74d529eba7f3,K12.MA-A1-F-LE.A.02,completed,2797000,1398500,2,100,200,2
f51017a2-98ca-4180-94c6-1b013bb69398,K12.MA-A1-F-LE.A.01,completed,1633000,816500,2,100,200,3
f51017a2-98ca-4180-94c6-1b013bb69398,K12.MA-A1-F-LE.A.03,completed,1633000,816500,2,100,200,3
f9cc2e21-d01d-483c-b154-075eff6c0f0b,K12.MA-A1-F-LE.A.01,completed,9514000,2378500,4,92.7075,370.83,11
f9cc2e21-d01d-483c-b154-075eff6c0f0b,K12.MA-A1-F-LE.A.03,completed,2765000,921666.666666667,3,90.2766666667,270.83,3
f9cc2e21-d01d-483c-b154-075eff6c0f0b,K12.MA-A1-F-LE.A.02,completed,3283000,1641500,2,100,200,2
fa283988-878f-4861-a67d-3b2a19b0290a,K12.MA-A1-F-LE.A.02,completed,114000,114000,1,100,100,1
