user_id,competency_code,status,total_time_spent,avg_time_spent,count,average_score,total_score,total_num_attempts
00a2911e-3bfe-40c0-a8ff-e579d73800f9,K12.MA-MA3-MD-C.03.02,completed,1291000,645500,2,100,200,2
01608492-8261-4472-86a2-473a920bb9ba,K12.MA-MA3-MD-C.03.02,completed,3796000,3796000,1,100,100,1
016dfc4e-9a07-4d4f-b39b-b072d2047346,K12.MA-MA3-MD-C.03.02,completed,1696000,848000,2,95,190,2
01c7efb9-c6db-45d9-b899-bbdf1b3c82af,K12.MA-MA3-MD-C.03.02,completed,861000,430500,2,100,200,2
0224fce4-b459-4265-a4d5-dfb49ced4672,K12.MA-MA3-MD-C.03.02,completed,2868000,956000,3,93.3333333333,280,3
025948a9-6c78-421e-8bbb-352cee288ecf,K12.MA-MA3-MD-C.03.02,completed,1619000,809500,2,100,200,2
03fb6e7f-de56-4d4f-a8f5-42ff549069ee,K12.MA-MA3-MD-C.03.02,completed,3187000,1593500,2,90,180,2
0508734f-9f03-4c12-a430-d4737ae3629f,K12.MA-MA3-MD-C.03.02,completed,3346000,1673000,2,90,180,3
059f9d97-94ed-48f9-9aea-18ad64925933,K12.MA-MA3-MD-C.03.02,completed,1079000,539500,2,85,170,2
06f4d7ee-2177-4aab-ba7a-54898637d44f,K12.MA-MA3-MD-C.03.02,completed,898000,898000,1,100,100,1
06fc04d6-e971-477c-8999-b3fecf9121f8,K12.MA-MA3-MD-C.03.02,completed,2952000,984000,3,100,300,4
08298b02-77db-4bbe-bc3c-507623029fc1,K12.MA-MA3-MD-C.03.02,completed,4766000,1588666.66666667,3,100,300,3
08fc1f9b-e8c8-41e3-8df7-2acf15f57dbd,K12.MA-MA3-MD-C.03.02,completed,6507000,3253500,2,100,200,2
095608fd-0142-4291-8445-288b8927f498,K12.MA-MA3-MD-C.03.02,completed,3321000,1107000,3,100,300,3
0b21fe38-159b-4764-adc4-16cadaf5bf2c,K12.MA-MA3-MD-C.03.02,completed,5676000,1892000,3,96.6666666667,290,3
0bf1ec25-e377-4f80-8e33-fd286aa44e28,K12.MA-MA3-MD-C.03.02,completed,730000,730000,1,100,100,3
0bf6755d-fb97-4cf1-bed8-1c66d200d111,K12.MA-MA3-MD-C.03.02,completed,346000,346000,1,100,100,1
0c04415e-8868-4a64-aa83-aa936a7f33e5,K12.MA-MA3-MD-C.03.02,completed,1863000,931500,2,100,200,2
0cf29d83-f364-49ef-91aa-c07e6fa5aaf0,K12.MA-MA3-MD-C.03.02,completed,404000,404000,1,100,100,1
0d1ca2a0-416d-4c97-8b3f-cd7afa6bb04f,K12.MA-MA3-MD-C.03.02,completed,934000,934000,1,80,80,1
10cda8b3-af3b-4430-b76d-3383a197fc62,K12.MA-MA3-MD-C.03.02,completed,133000,133000,1,100,100,1
11deb547-0e96-404d-a4f6-a0665a66441a,K12.MA-MA3-MD-C.03.02,completed,951000,475500,2,90,180,2
12f3815e-9bf1-49f9-a1e1-d547a66b81e1,K12.MA-MA3-MD-C.03.02,completed,1378000,1378000,1,80,80,1
12fecd7a-9fb3-4b07-b884-84f2e3e0806a,K12.MA-MA3-MD-C.03.02,completed,1197000,598500,2,100,200,2
13024de5-6f07-4f88-94b2-2b97c5053e5f,K12.MA-MA3-MD-C.03.02,completed,4227000,4227000,1,80,80,3
137650f7-f584-43a8-813c-5bd2d8df395a,K12.MA-MA3-MD-C.03.02,completed,2896000,1448000,2,90,180,2
15c1975e-4989-4982-8ea7-4d6925a2c4e4,K12.MA-MA3-MD-C.03.02,completed,321000,321000,1,100,100,1
162226db-e0a7-4263-b857-56de958bf7dc,K12.MA-MA3-MD-C.03.02,completed,2056000,1028000,2,90,180,2
16d4af35-39d5-4d7e-bb8e-cb3946d1f0a9,K12.MA-MA3-MD-C.03.02,completed,2534000,844666.666666667,3,96.6666666667,290,3
16e5903d-4749-4c66-9133-14d56aba0429,K12.MA-MA3-MD-C.03.02,completed,604000,604000,1,100,100,1
1803910a-71ca-43dc-82e9-a676d5f3742d,K12.MA-MA3-MD-C.03.02,completed,919000,919000,1,100,100,1
18187853-4d60-433b-ba80-022c3603ffa6,K12.MA-MA3-MD-C.03.02,completed,1135000,1135000,1,100,100,1
