user_id,competency_code,status,total_time_spent,avg_time_spent,count,average_score,total_score,total_num_attempts
00618043-e92f-4c17-bb3a-7ea3024562f3,K12.MA-MA3-OAT-A.01,completed,1273000,424333.333333333,3,95.2366666667,285.71,3
00618043-e92f-4c17-bb3a-7ea3024562f3,K12.MA-MA3-OAT-A.04,completed,1273000,424333.333333333,3,95.2366666667,285.71,3
00618043-e92f-4c17-bb3a-7ea3024562f3,K12.MA-MA3-OAT-A.02,completed,1273000,424333.333333333,3,95.2366666667,285.71,3
00618043-e92f-4c17-bb3a-7ea3024562f3,K12.MA-MA3-OAT-A.03,completed,1273000,424333.333333333,3,95.2366666667,285.71,3
006d063d-431d-4e1c-8eef-c6f800fed5fa,K12.MA-MA3-OAT-A.04,completed,1115000,1115000,1,90,90,2
007917ad-7fc7-45c3-a91b-602fb6ced2c0,K12.MA-MA3-OAT-A.04,completed,1143000,1143000,1,80,80,1
007917ad-7fc7-45c3-a91b-602fb6ced2c0,K12.MA-MA3-OAT-A.01,completed,1050000,1050000,1,90,90,1
00eda94f-749c-4f26-b6e2-958d7e0e6d3d,K12.MA-MA3-OAT-A.01,completed,1031000,1031000,1,100,100,1
00eda94f-749c-4f26-b6e2-958d7e0e6d3d,K12.MA-MA3-OAT-A.04,completed,421000,421000,1,80,80,1
028eabcd-7e23-4d18-90dd-5e79b6c4f77b,K12.MA-MA3-OAT-A.01,completed,1138000,1138000,1,80,80,4
028eabcd-7e23-4d18-90dd-5e79b6c4f77b,K12.MA-MA3-OAT-A.04,completed,948000,948000,1,100,100,2
0362009e-4c4c-4908-89e0-0714a5780f5f,K12.MA-MA3-OAT-A.04,completed,1080000,540000,2,100,200,2
0362009e-4c4c-4908-89e0-0714a5780f5f,K12.MA-MA3-OAT-A.03,completed,1080000,540000,2,100,200,2
0362009e-4c4c-4908-89e0-0714a5780f5f,K12.MA-MA3-OAT-A.01,completed,1080000,540000,2,100,200,2
0362009e-4c4c-4908-89e0-0714a5780f5f,K12.MA-MA3-OAT-A.02,completed,1080000,540000,2,100,200,2
06c874cb-cb73-4594-baad-78f4ab647d6a,K12.MA-MA3-OAT-A.04,completed,1211000,1211000,1,100,100,1
06c874cb-cb73-4594-baad-78f4ab647d6a,K12.MA-MA3-OAT-A.01,completed,5309000,5309000,1,90,90,1
071300e9-39d9-40da-b267-32024a63df4e,K12.MA-MA3-OAT-A.01,completed,561000,561000,1,80,80,1
071300e9-39d9-40da-b267-32024a63df4e,K12.MA-MA3-OAT-A.04,completed,6433000,6433000,1,80,80,1
0b65509a-3a57-450e-8315-13dcaf8e91f2,K12.MA-MA3-OAT-A.04,completed,1403000,1403000,1,80,80,2
0c36283a-f358-435f-bd35-d0d72ebeb4a8,K12.MA-MA3-OAT-A.04,completed,1821000,1821000,1,90,90,2
0c36283a-f358-435f-bd35-d0d72ebeb4a8,K12.MA-MA3-OAT-A.01,completed,1125000,1125000,1,80,80,1
11641814-fab0-4128-9bd6-6a1409443d32,K12.MA-MA3-OAT-A.04,completed,12278000,12278000,1,100,100,2
12ad70a0-28da-43c1-9765-d72a1c411a2d,K12.MA-MA3-OAT-A.04,completed,281000,281000,1,80,80,1
12ad70a0-28da-43c1-9765-d72a1c411a2d,K12.MA-MA3-OAT-A.01,completed,494000,494000,1,90,90,1
1353d338-4c8d-40fb-b73f-742ea4385ec8,K12.MA-MA3-OAT-A.04,completed,669000,669000,1,80,80,1
13b9777a-aeb4-4dca-afdd-e0f3de0f25e5,K12.MA-MA3-OAT-A.04,completed,1483000,1483000,1,90,90,3
13b9777a-aeb4-4dca-afdd-e0f3de0f25e5,K12.MA-MA3-OAT-A.01,completed,445000,445000,1,100,100,1
14f746a8-b4b6-4b0f-addd-05911bee4757,K12.MA-MA3-OAT-A.04,completed,1096000,1096000,1,90,90,1
1607b9ac-aa2b-43e3-a235-31d9b6abcbf7,K12.MA-MA3-OAT-A.04,completed,1376000,1376000,1,80,80,1
16da36ff-6b47-4fce-9cc6-2dc3d32053fd,K12.MA-MA3-OAT-A.04,completed,627000,627000,1,80,80,1
16da36ff-6b47-4fce-9cc6-2dc3d32053fd,K12.MA-MA3-OAT-A.01,completed,2350000,2350000,1,90,90,1
17833287-44ac-4a0a-a8dd-b29de95d7c48,K12.MA-MA3-OAT-A.01,completed,30000,30000,1,100,100,1
1848847a-3c7f-470a-b1d0-e5b6831c7106,K12.MA-MA3-OAT-A.04,completed,1092000,1092000,1,90,90,3
1848847a-3c7f-470a-b1d0-e5b6831c7106,K12.MA-MA3-OAT-A.01,completed,915000,915000,1,80,80,1
1932e547-9fe1-4e23-b4c8-156309753d2d,K12.MA-MA3-OAT-A.01,completed,986000,986000,1,90,90,3
1932e547-9fe1-4e23-b4c8-156309753d2d,K12.MA-MA3-OAT-A.04,completed,361000,361000,1,90,90,2
1a46e778-c5ce-4734-9405-06e80313453e,K12.MA-MA3-OAT-A.01,completed,512000,512000,1,80,80,1
1a46e778-c5ce-4734-9405-06e80313453e,K12.MA-MA3-OAT-A.04,completed,180000,180000,1,100,100,1
1c45f3a3-eef1-48af-bf86-bda1e058484e,K12.MA-MA3-OAT-A.01,completed,1019000,1019000,1,80,80,2
1c45f3a3-eef1-48af-bf86-bda1e058484e,K12.MA-MA3-OAT-A.04,completed,928000,928000,1,80,80,2
1cd309e1-7c88-493f-846b-7bbf6181e327,K12.MA-MA3-OAT-A.01,completed,5411000,5411000,1,80,80,1
1cd309e1-7c88-493f-846b-7bbf6181e327,K12.MA-MA3-OAT-A.04,completed,1499000,1499000,1,100,100,1
1d77df33-a4db-4c9c-ad0c-97c88c9ce954,K12.MA-MA3-OAT-A.01,completed,884000,884000,1,80,80,2
