user_id,competency_code,status,total_time_spent,avg_time_spent,count,average_score,total_score,total_num_attempts
0bbed496-fa45-4ef6-895a-14c25eaaa73f,K12.ELA-ELA8-RL-01,completed,1114000,1114000,1,100,100,1
1337c347-0298-482e-a86e-6eb277b58915,K12.ELA-ELA8-RL-04,completed,173000,173000,1,100,100,2
1ee133ce-5c34-402d-b926-680d63923560,K12.ELA-ELA8-RL-04,completed,40000,40000,1,80,80,1
2f838d29-ad7a-44e7-a38b-55d02c56549f,K12.ELA-ELA8-RL-04,completed,314000,314000,1,100,100,3
377ec99e-f4da-4ec6-abff-99ee220c4b7c,K12.ELA-ELA8-RL-01,completed,526000,526000,1,100,100,1
3a0d67f6-fa47-4aeb-aed7-b64cee0e278f,K12.ELA-ELA8-RL-04,completed,381000,381000,1,100,100,1
50dc79f8-a2fd-485d-8987-2f926facb9de,K12.ELA-ELA8-RL-04,completed,90000,90000,1,100,100,1
53777663-d4df-4ae4-b0e7-815e4d56dea6,K12.ELA-ELA8-RL-04,completed,144000,144000,1,100,100,1
55817299-20b7-429d-b121-d0b60e8160ef,K12.ELA-ELA8-RL-04,completed,464000,464000,1,80,80,1
5da74b57-c8c6-47c6-a615-c14ccf951500,K12.ELA-ELA8-RL-04,completed,10000,10000,1,100,100,1
6d66a08b-e75f-49ad-899c-997ace381a4a,K12.ELA-ELA8-RL-04,completed,112000,112000,1,100,100,1
94365ec2-1510-4f66-8b87-bdaead096e84,K12.ELA-ELA8-RL-01,completed,668000,668000,1,100,100,1
b8cb4e8f-4880-406d-bda5-e1165479c6d4,K12.ELA-ELA8-RL-04,completed,14000,14000,1,100,100,1
fe2b61fa-3b97-4aca-a0c8-93e6d037f1ab,K12.ELA-ELA8-RL-04,completed,74000,74000,1,100,100,2
